vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23J217060,83.07,23.58,7.03,100.0,147,28.53,77.31
MD9EMHDL23J217068,47.24,0.0,47.24,47.24,4,22.79,72.96
MD9EMHDL23J217071,62.48,23.08,5.53,99.99,132,28.64,77.11
MD9EMHDL23J217087,64.21,20.63,11.62,100.0,140,13.06,80.18
MD9EMHDL23J217091,86.16,16.29,23.77,100.0,136,17.39,78.57
MD9EMHDL23J217108,64.76,22.61,33.74,100.0,144,13.11,80.19
MD9EMHDL23J217121,86.55,18.62,5.01,100.0,149,28.68,77.07
MD9EMHDL23J217124,74.36,28.65,2.72,100.0,161,28.52,77.26
MD9EMHDL23J217178,84.27,24.06,28.49,100.0,142,28.61,77.1
MD9EMHDL23J217185,89.58,15.69,30.0,100.0,172,28.6,77.4
MD9EMHDL23J217186,91.07,18.21,12.81,100.0,190,28.49,77.29
MD9EMHDL23J217188,85.41,18.01,26.45,100.0,149,28.69,77.07
MD9EMHDL23J217193,90.22,11.34,58.56,100.0,134,28.68,77.17
MD9EMHDL23J217197,93.2,13.87,48.64,100.0,151,28.61,77.11
MD9EMHDL23J217203,67.12,20.38,25.03,99.99,78,28.62,77.25
MD9EMHDL23J217206,60.94,0.0,60.94,60.94,14,28.6,77.24
MD9EMHDL23J217209,80.72,16.69,53.37,100.0,13,28.69,77.03
MD9EMHDL23J217213,86.58,20.72,7.77,100.0,151,28.6,77.12
MD9EMHDL23J217216,77.0,29.11,1.34,100.0,179,28.59,77.07
MD9EMHDL23J217218,95.2,5.83,72.26,100.0,129,28.61,77.03
MD9EMHDL23J217219,58.59,25.4,35.41,81.78,6,28.66,77.2
MD9EMHDL23J217222,65.86,25.85,5.86,100.0,144,17.47,78.35
MD9EMHDL23J217230,85.16,20.68,2.71,100.0,159,28.62,77.09
MD9EMHDL23J217234,88.9,19.03,18.71,100.0,143,28.56,77.04
MD9EMHDL23K217001,81.33,23.98,15.07,100.0,145,12.98,80.24
MD9EMHDL23K217004,78.69,19.41,16.58,100.0,105,12.97,80.14
MD9EMHDL23K217011,92.67,12.69,47.41,100.95,161,13.07,80.18
MD9EMHDL23K217019,100.0,0.0,100.0,100.0,100,28.45,77.14
MD9EMHDL23K217020,80.02,16.71,44.11,100.0,120,28.69,77.13
MD9EMHDL23K217026,76.9,24.25,1.55,100.74,173,28.6,77.13
MD9EMHDL23K217027,25.64,0.0,25.64,25.64,4,21.28,72.95
MD9EMHDL23K217028,77.61,25.51,4.61,100.0,171,28.77,77.18
MD9EMHDL23K217039,99.19,2.07,92.26,100.0,171,28.66,77.07
MD9EMHDL23K217044,85.93,18.41,21.35,100.0,178,28.54,77.29
MD9EMHDL23K217047,95.77,0.0,95.77,95.77,4,19.23,73.16
MD9EMHDL23K217052,52.55,0.0,52.55,52.55,4,28.64,77.04
MD9EMHDL23K217054,36.94,16.61,0.55,49.54,114,17.3,78.43
MD9EMHDL23K217058,79.34,0.0,79.34,79.34,4,19.1,73.01
MD9EMHDL23K217066,75.16,25.72,9.06,100.0,134,17.36,78.45
MD9EMHDL23K217070,60.77,0.11,60.47,60.91,74,17.51,78.44
MD9EMHDL23K217071,67.65,18.25,41.08,100.0,104,28.49,77.17
MD9EMHDL23K217079,100.0,0.0,100.0,100.0,164,28.63,77.1
MD9EMHDL23K217080,80.55,0.0,80.54,80.55,111,17.5,78.34
MD9EMHDL23K217083,84.72,19.78,31.19,100.0,64,28.63,77.36
MD9EMHDL23K217084,69.69,26.66,11.56,100.0,167,17.5,78.42
MD9EMHDL23K217089,58.61,29.35,0.0,100.0,150,17.33,78.42
MD9EMHDL23K217094,68.55,35.09,1.48,100.0,156,28.66,77.13
MD9EMHDL23K217098,13.71,1.72,7.33,14.57,107,17.55,78.69
MD9EMHDL23K217100,98.79,0.0,98.79,98.79,4,28.84,77.13
MD9EMHDL23K217107,81.94,19.15,53.2,100.0,132,28.65,77.12
MD9EMHDL23K217119,77.88,16.97,48.86,100.0,147,28.62,77.12
MD9EMHDL23K217124,61.66,0.0,61.66,61.66,4,28.48,77.04
MD9EMHDL23K217142,81.17,22.01,25.42,100.0,154,28.58,77.18
MD9EMHDL23K217149,86.86,21.04,30.5,100.0,175,28.7,77.27
MD9EMHDL23K217150,87.44,23.52,8.26,100.0,172,28.73,77.19
MD9EMHDL23K217166,87.77,0.0,87.77,87.77,170,28.66,77.07
MD9EMHDL23K217167,85.51,21.2,9.56,100.0,178,28.64,77.07
MD9EMHDL23K217168,73.11,22.36,28.1,100.0,157,28.65,77.12
MD9EMHDL23K217180,84.28,23.51,0.0,100.0,145,12.99,80.12
MD9EMHDL23K217186,78.58,0.0,78.58,78.58,4,17.36,78.52
MD9EMHDL23K217191,79.09,25.78,0.04,100.0,168,28.65,77.1
MD9EMHDL23K217193,86.91,10.71,36.43,100.0,168,28.75,77.18
MD9EMHDL23K217194,123.77,541.11,7.78,7235.47,175,28.75,77.1
MD9EMHDL23K217200,67.49,25.91,14.03,100.0,131,13.05,80.25
MD9EMHDL23K217201,67.42,27.6,9.16,100.0,130,28.68,77.06
MD9EMHDL23K217202,82.56,14.42,38.24,97.99,141,28.56,77.24
MD9EMHDL23K217207,80.3,25.0,2.08,100.0,152,17.38,78.45
MD9EMHDL23K217208,83.72,20.92,15.89,100.0,179,28.61,77.45
MD9EMHDL23K217221,92.35,17.57,24.38,100.0,183,17.55,78.22
MD9EMHDL23K217222,87.03,15.38,35.26,100.0,138,17.36,78.45
MD9EMHDL23K217223,98.3,0.0,98.3,98.3,4,28.63,77.34
MD9EMHDL23K217225,74.39,15.18,60.73,99.19,121,12.86,79.99
MD9EMHDL23K217226,64.35,22.62,7.3,100.0,74,28.56,77.26
MD9EMHDL23K217232,74.92,18.84,26.42,100.0,149,28.6,77.31
MD9EMHDL23K217234,75.82,0.0,75.82,75.82,4,28.52,77.27
MD9EMHDL23K217241,79.51,23.89,16.68,100.0,192,28.54,77.11
MD9EMHDL23K217244,100.0,0.0,100.0,100.0,130,17.38,78.47
MD9EMHDL23K217248,96.05,0.0,96.05,96.05,4,17.43,78.37
MD9EMHDL23K217258,85.92,11.4,61.53,100.0,143,17.19,78.64
MD9EMHDL23K217259,67.25,24.4,32.61,100.0,113,28.49,77.01
MD9EMHDL23K217260,98.41,4.3,86.28,100.0,100,17.48,78.35
MD9EMHDL23K217277,84.73,21.52,4.98,100.0,180,28.64,77.42
MD9EMHDL23K217286,84.33,20.18,6.62,100.0,150,28.41,77.1
MD9EMHDL23K217290,78.07,23.31,29.43,100.0,162,28.48,77.28
MD9EMHDL23K217291,81.54,13.69,50.7,94.97,113,12.84,77.6
MD9EMHDL23K217299,100.0,0.0,100.0,100.0,128,28.54,77.04
MD9EMHDL23K217302,77.94,22.62,8.12,100.0,151,28.42,76.94
MD9EMHDL23K217304,70.44,29.64,0.81,100.0,71,28.59,77.32
MD9EMHDL23L217023,54.17,12.16,29.62,82.27,117,17.32,78.54
MD9EMHDL23L217052,87.75,18.28,34.07,100.0,191,28.67,77.26
MD9EMHDL23L217057,69.77,23.22,26.75,100.0,152,22.8,75.9
MD9EMHDL23L217061,82.54,19.23,27.57,100.0,169,28.62,77.18
MD9EMHDL23L217062,77.04,24.5,2.6,100.0,183,28.65,77.25
MD9EMHDL23L217065,100.0,0.0,100.0,100.0,4,28.72,77.16
MD9EMHDL23L217075,99.55,0.0,99.55,99.55,156,28.61,77.31
MD9EMHDL23L217081,62.8,24.92,20.09,100.0,157,28.7,77.23
MD9EMHDL23L217085,86.32,0.0,86.32,86.32,4,28.68,77.05
MD9EMHDL23L217091,84.87,21.06,34.06,100.0,172,28.69,77.09
MD9EMHDL23L217095,112.36,377.34,38.37,3505.99,83,28.63,77.18
MD9EMHDL23L217100,86.79,18.21,18.96,100.0,158,28.64,77.31
MD9EMHDL23L217107,82.21,20.76,10.23,100.0,156,28.6,77.27
MD9EMHDL23L217108,100.0,0.0,100.0,100.0,138,28.68,77.05
MD9EMHDL23L217113,59.85,21.33,31.66,100.0,139,28.62,77.12
MD9EMHDL23L217116,79.7,24.74,15.2,100.0,176,28.6,77.09
MD9EMHDL23L217117,100.0,0.0,100.0,100.0,4,28.74,77.11
MD9EMHDL23L217121,83.32,18.95,42.61,100.0,156,28.7,77.25
MD9EMHDL23L217127,89.94,18.13,23.48,100.0,165,28.68,77.08
MD9EMHDL23L217128,83.89,24.73,14.31,100.0,172,28.63,77.04
MD9EMHDL23L217139,74.54,26.87,4.07,100.0,165,28.72,77.17
MD9EMHDL23L217145,90.58,16.42,33.89,100.71,168,28.69,77.1
MD9EMHDL23L217146,81.61,0.0,81.61,81.61,4,28.39,77.06
MD9EMHDL23L217147,92.67,13.77,33.47,100.0,157,28.77,77.14
MD9EMHDL23L217149,81.69,24.38,12.01,100.0,160,28.61,77.12
MD9EMHDL23L217151,41.83,24.42,3.52,100.0,134,28.75,77.13
MD9EMHDL23L217158,87.55,18.56,24.0,100.0,167,28.42,77.3
MD9EMHDL23L217160,90.36,15.36,46.35,100.0,142,28.64,77.03
MD9EMHDL23L217165,73.31,14.5,33.43,100.0,192,28.35,77.33
MD9EMHDL23L217167,91.63,14.9,20.12,100.0,185,28.6,77.01
MD9EMHDL23L217174,67.0,32.22,0.0,100.0,168,28.63,77.15
MD9EMHDL23L217178,82.53,14.54,54.59,100.0,138,28.61,77.34
MD9EMHDL23L217183,92.8,13.52,50.34,100.0,134,28.72,77.25
MD9EMHDL23L217186,39.99,10.3,11.69,69.89,122,28.64,77.02
MD9EMHDL23L217199,86.21,21.17,13.47,100.0,168,28.63,77.03
MD9EMHDL23L217203,87.25,20.47,25.79,100.0,114,28.67,77.1
MD9EMHDL23L217208,63.47,20.88,7.69,100.0,158,17.42,78.42
MD9EMHDL23L217214,83.69,0.0,83.69,83.69,174,28.56,77.44
MD9EMHDL23M217010,56.1,17.32,29.35,92.85,124,12.84,77.68
MD9EMHDL23M217014,32.57,9.33,19.48,54.37,44,28.52,77.29
MD9EMHDL23M217016,80.03,15.69,47.77,100.0,143,17.19,78.64
MD9EMHDL23M217019,77.52,19.47,30.56,100.0,135,12.99,80.13
MD9EMHDL23M217022,97.9,6.58,74.69,100.0,116,17.48,78.46
MD9EMHDL23M217028,50.71,33.07,0.0,100.0,137,28.55,77.41
MD9EMHDL23M217029,94.07,10.74,56.07,100.0,133,17.45,78.51
MD9EMHDL23M217043,91.4,0.0,91.4,91.4,4,17.76,76.12
MD9EMHDL23M217049,67.45,18.82,36.49,100.0,133,17.45,78.5
MD9EMHDL23M217059,91.61,14.98,15.42,100.0,171,28.54,77.44
MD9EMHDL23M217060,78.67,6.89,68.3,93.57,188,12.52,76.89
MD9EMHDL23M217070,75.55,24.59,7.72,100.0,170,28.41,76.95
MD9EMHDL23M217078,66.23,15.05,40.27,94.59,120,13.1,77.6
MD9EMHDL23M217083,73.26,18.53,44.09,100.0,150,28.71,77.06
MD9EMHDL23M217094,70.34,27.87,12.94,100.0,153,28.65,77.18
MD9EMHDL23M217095,77.95,19.88,30.01,100.0,139,28.68,77.27
MD9EMHDL23M217097,85.7,0.0,85.7,85.7,4,17.18,78.65
MD9EMHDL23M217098,85.45,18.4,32.81,100.0,143,28.65,77.27
MD9EMHDL23M217100,91.32,13.08,53.18,100.0,122,16.28,80.44
MD9EMHDL23M217101,72.63,24.38,9.9,100.0,156,16.43,80.6
MD9EMHDL23M217102,100.0,0.0,100.0,100.0,108,28.71,77.27
MD9EMHDL23M217103,52.11,27.07,13.27,100.0,121,17.35,78.49
MD9EMHDL23M217105,82.96,24.46,5.77,100.0,177,28.68,77.15
MD9EMHDL23M217109,67.37,0.0,67.37,67.37,4,28.65,77.09
MD9EMHDL23M217111,88.13,16.46,37.27,100.0,152,28.66,77.14
MD9EMHDL23M217112,76.23,23.58,14.55,100.0,160,12.96,77.56
MD9EMHDL23M217115,78.79,18.38,54.79,100.0,106,28.76,77.09
MD9EMHDL23M217119,87.54,16.64,34.55,100.0,135,28.7,77.11
MD9EMHDL23M217120,76.86,0.0,76.86,76.86,4,15.46,80.04
MD9EMHDL23M217125,70.73,0.0,70.73,70.73,4,14.46,79.99
MD9EMHDL23M217126,84.39,18.63,36.39,100.0,140,28.57,77.44
MD9EMHDL23M217129,81.2,19.31,15.41,100.0,163,28.58,77.06
MD9EMHDL23M217144,94.52,8.28,59.19,100.0,163,28.68,77.1
MD9EMHDL23M217149,93.0,11.39,38.06,99.23,130,28.63,77.02
MD9EMHDL23M217150,54.28,0.0,54.28,54.28,4,28.47,77.02
MD9EMHDL23M217154,85.85,23.8,1.23,100.0,168,28.53,77.41
MD9EMHDL23M217158,66.61,28.07,11.5,100.0,156,28.68,77.11
MD9EMHDL23M217159,84.91,18.63,27.83,100.0,162,28.61,77.44
MD9EMHDL23M217160,76.24,20.33,21.99,100.0,143,28.48,77.16
MD9EMHDL23M217161,90.79,15.73,48.04,100.0,175,28.64,77.07
MD9EMHDL23M217163,72.85,24.96,35.37,100.0,121,28.75,77.27
MD9EMHDL23M217168,87.71,20.39,1.74,100.0,170,28.6,77.0
MD9EMHDL23M217169,98.2,4.68,72.32,100.0,136,28.69,76.96
MD9EMHDL23M217176,72.89,21.37,40.21,100.0,149,28.68,77.11
MD9EMHDL23M217179,83.88,19.41,32.04,100.0,171,28.63,77.07
MD9EMHDL23M217182,79.95,22.58,23.88,100.0,182,28.54,77.3
MD9EMHDL23M217191,53.58,23.29,28.6,100.0,131,28.62,77.02
MD9EMHDL23M217192,99.86,0.0,99.86,99.86,4,28.62,77.0
MD9EMHDL23M217194,71.86,24.07,16.08,100.0,175,28.56,77.28
MD9EMHDL23M217195,99.98,0.03,99.92,100.0,111,28.61,77.07
MD9EMHDL23M217196,56.15,26.51,0.08,99.48,69,28.58,77.13
MD9EMHDL23M217197,56.69,32.49,0.0,100.0,139,28.66,77.11
MD9EMHDL23M217198,89.12,14.35,58.89,100.0,124,28.69,77.06
MD9EMHDL23M217201,77.09,22.87,9.08,100.0,169,28.54,77.23
MD9EMHDL23M217202,72.63,0.0,72.63,72.63,4,28.68,77.06
MD9EMHDL23M217210,88.0,15.54,45.92,100.0,179,28.62,77.04
MD9EMHDL23M217211,100.0,0.0,100.0,100.0,93,28.64,77.11
MD9EMHDL23M217212,83.98,19.52,24.45,100.0,154,28.63,77.19
MD9EMHDL23M217213,74.43,34.13,2.13,100.0,177,28.65,77.07
MD9EMHDL23M217215,79.33,21.13,10.51,100.0,169,1.68,0.0
MD9EMHDL23M217217,84.99,20.37,26.52,100.0,148,28.79,77.13
MD9EMHDL23M217220,100.0,0.0,100.0,100.0,4,28.56,77.18
MD9EMHDL23M217223,60.5,29.43,0.8,100.0,130,28.64,77.04
MD9EMHDL23M217226,60.81,31.66,13.03,100.0,126,28.68,77.21
MD9EMHDL23M217228,81.61,21.18,4.66,99.79,137,28.57,77.28
MD9EMHDL23M217230,75.61,25.12,27.32,100.0,140,28.66,77.28
MD9EMHDL23M217234,55.21,24.1,23.68,100.0,152,28.72,77.13
MD9EMHDL23M217238,83.67,21.24,20.6,100.0,165,28.61,77.03
MD9EMHDL23M217244,90.22,12.4,53.24,100.0,157,28.6,77.41
MD9EMHDL23M217249,76.85,0.0,76.85,76.85,4,28.47,77.16
MD9EMHDL23M217252,91.36,18.29,22.43,100.0,191,28.63,77.13
MD9EMHDL23M217253,83.24,21.79,11.5,100.0,189,28.56,77.32
MD9EMHDL23M217254,78.28,0.0,78.28,78.28,4,28.68,77.07
MD9EMHDL23M217257,77.76,24.16,6.64,100.0,161,28.6,77.31
MD9EMHDL23M217260,68.19,27.06,20.3,100.0,149,28.69,77.18
MD9EMHDL23M217261,97.43,0.0,97.43,97.43,4,12.49,78.56
MD9EMHDL23M217263,75.68,24.21,5.23,100.0,166,28.57,77.13
MD9EMHDL23M217264,100.0,0.0,100.0,100.0,71,13.04,77.65
MD9EMHDL23M217271,78.81,21.35,7.14,100.0,137,12.99,80.17
MD9EMHDL23M217274,92.69,11.71,44.46,100.0,172,28.65,77.08
MD9EMHDL23M217275,81.67,11.38,60.42,100.0,131,12.91,77.62
MD9EMHDL23M217284,75.76,19.15,29.99,100.0,122,18.67,73.79
MD9EMHDL23M217287,77.3,23.59,13.05,100.0,183,28.62,77.13
MD9EMHDL23M217289,73.04,24.16,19.18,100.0,150,28.69,77.06
MD9EMHDL23M217294,83.05,22.72,6.91,100.0,171,28.61,77.37
MD9EMHDL23M217301,89.58,12.57,54.45,100.0,165,28.69,77.08
MD9EMHDL23M217302,82.72,19.73,16.85,100.0,162,28.47,77.04
MD9EMHDL23M217303,87.41,17.81,28.59,100.0,178,28.64,77.06
MD9EMHDL23M217306,80.12,24.99,5.37,100.0,156,28.68,77.16
MD9EMHDL23M217312,45.28,11.48,28.64,55.36,115,28.64,77.04
MD9EMHDL23M217313,85.35,23.71,3.89,100.0,130,28.57,77.07
MD9EMHDL24A217002,55.06,27.55,13.2,100.0,127,13.97,78.92
MD9EMHDL24A217003,100.0,0.0,100.0,100.0,4,28.7,77.0
MD9EMHDL24A217004,79.0,22.69,22.58,100.0,130,17.39,78.44
MD9EMHDL24A217005,86.19,19.29,10.99,100.0,122,13.06,80.14
MD9EMHDL24A217006,90.66,17.23,29.28,100.0,174,28.64,77.2
MD9EMHDL24A217007,34.35,0.0,34.35,34.35,4,12.98,80.13
MD9EMHDL24A217008,83.17,23.42,29.75,100.0,176,12.17,79.06
MD9EMHDL24A217009,88.99,15.41,50.87,100.0,160,28.63,77.14
MD9EMHDL24A217010,94.99,0.0,94.99,94.99,4,12.93,77.55
MD9EMHDL24A217014,68.24,30.38,4.38,100.0,162,28.68,77.17
MD9EMHDL24A217016,77.05,20.44,11.31,100.0,147,28.44,77.03
MD9EMHDL24A217020,91.51,17.03,13.26,100.0,150,28.53,77.28
MD9EMHDL24A217021,87.15,16.13,46.8,100.0,142,16.19,80.66
MD9EMHDL24A217022,69.59,23.11,25.31,100.0,156,28.84,77.09
MD9EMHDL24A217027,93.08,13.75,34.43,100.0,163,28.75,77.29
MD9EMHDL24A217030,81.94,16.27,36.23,100.0,145,28.6,77.38
MD9EMHDL24A217031,67.48,19.59,10.63,100.0,115,28.66,77.16
MD9EMHDL24A217034,49.84,0.0,49.84,49.84,4,11.95,78.42
MD9EMHDL24A217037,124.24,557.62,3.58,7235.71,165,28.53,77.28
MD9EMHDL24A217039,63.32,28.19,8.97,100.0,146,28.69,77.23
MD9EMHDL24A217041,70.51,28.21,0.0,100.0,166,28.73,77.1
MD9EMHDL24A217042,36.03,0.0,36.03,36.03,4,28.59,77.34
MD9EMHDL24A217048,90.61,0.0,90.61,90.61,4,28.71,77.15
MD9EMHDL24A217057,32.92,0.0,32.92,32.92,4,28.59,76.99
MD9EMHDL24A217061,100.0,0.0,100.0,100.0,4,12.94,78.88
MD9EMHDL24A217062,81.13,27.22,31.02,100.0,118,28.63,77.01
MD9EMHDL24A217063,83.44,26.61,1.96,100.0,190,28.71,77.23
MD9EMHDL24A217064,47.19,14.04,37.72,89.57,113,28.69,77.33
MD9EMHDL24A217075,81.31,15.3,55.07,100.0,129,27.05,81.83
MD9EMHDL24A217085,92.31,9.52,64.68,100.0,154,28.73,77.05
MD9EMHDL24A217092,100.0,0.0,100.0,100.0,4,14.81,79.83
MD9EMHDL24A217107,76.2,26.12,4.98,100.0,127,28.64,77.07
MD9EMHDL24A217109,82.24,20.01,25.23,100.0,189,11.0,76.95
MD9EMHDL24A217110,86.15,9.26,73.14,100.0,112,28.75,77.08
MD9EMHDL24A217115,92.34,13.27,56.97,100.0,120,13.01,77.59
MD9EMHDL24A217117,88.96,11.0,60.27,100.0,124,28.6,76.99
MD9EMHDL24A217119,95.62,9.38,59.04,100.0,161,28.53,77.28
MD9EMHDL24A217121,0.0,0.0,0.0,0.0,4,28.61,77.4
MD9EMHDL24A217127,70.92,0.0,70.92,70.92,155,28.6,77.08
MD9EMHDL24A217131,10.23,0.0,10.23,10.23,4,14.02,78.72
MD9EMHDL24A217135,78.05,24.83,23.35,100.0,151,28.5,77.07
MD9EMHDL24A217150,60.12,0.0,60.12,60.12,4,28.6,77.03
MD9EMHDL24A217164,84.44,20.14,22.18,100.0,137,28.6,77.44
MD9EMHDL24A217166,96.13,2.22,94.07,98.91,112,17.31,78.44
MD9EMHDL24A217175,71.15,16.71,31.66,100.0,123,17.31,78.44
MD9EMHDL24A217178,64.98,22.69,16.71,100.0,142,28.67,77.23
MD9EMHDL24A217180,75.22,27.9,5.28,100.0,172,28.54,77.2
MD9EMHDL24A217183,55.59,0.0,55.59,55.59,4,13.07,80.18
MD9EMHDL24A217184,82.26,17.24,47.09,100.0,147,28.64,77.08
MD9EMHDL24A217198,78.22,14.02,43.59,100.0,131,28.65,77.01
MD9EMHDL24A217207,81.31,20.09,6.34,100.0,148,28.61,77.29
MD9EMHDL24A217209,73.41,26.36,12.17,100.0,166,28.61,77.02
MD9EMHDL24A217211,76.32,22.11,30.14,100.0,174,28.73,77.08
MD9EMHDL24A217212,81.93,25.75,0.0,100.0,131,28.48,77.05
MD9EMHDL24A217213,88.46,18.28,21.71,100.0,155,28.62,77.32
MD9EMHDL24A217219,87.29,21.86,4.61,100.0,163,28.57,77.33
MD9EMHDL24A217220,97.48,4.7,87.98,100.0,121,28.59,77.04
MD9EMHDL24A217224,80.78,22.89,5.86,100.0,148,28.78,77.14
MD9EMHDL24A217225,83.73,10.86,58.33,98.62,115,28.49,77.13
MD9EMHDL24A217227,92.68,13.56,46.49,100.0,143,28.68,77.38
MD9EMHDL24A217229,48.97,0.0,48.97,48.97,4,28.55,77.25
MD9EMHDL24A217230,89.6,16.56,27.28,100.0,165,28.41,76.88
MD9EMHDL24A217233,82.58,22.19,24.65,100.0,177,28.64,77.2
MD9EMHDL24A217235,63.7,25.01,9.93,100.0,131,28.62,77.03
MD9EMHDL24A217237,69.29,25.86,26.9,100.0,152,28.52,77.3
MD9EMHDL24A217240,91.04,16.14,30.67,100.0,178,28.69,77.19
MD9EMHDL24A217242,91.97,11.78,41.44,100.0,150,28.75,77.1
MD9EMHDL24A217243,68.11,30.42,2.05,100.0,168,28.51,77.32
MD9EMHDL24A217245,77.8,24.79,12.89,100.0,168,28.51,77.26
MD9EMHDL24A217246,76.69,27.08,6.88,100.0,184,28.54,77.38
MD9EMHDL24A217250,60.09,23.25,30.82,100.0,135,28.7,77.22
MD9EMHDL24A217251,80.7,25.57,6.62,100.0,164,28.62,77.39
MD9EMHDL24A217252,97.36,6.04,73.23,100.0,118,28.59,77.09
MD9EMHDL24A217255,55.23,30.54,3.68,100.0,143,28.67,77.39
MD9EMHDL24A217256,76.21,22.85,22.0,100.0,166,28.66,77.05
MD9EMHDL24A217257,90.04,16.07,40.6,100.0,43,28.49,77.06
MD9EMHDL24A217259,75.62,24.01,15.05,100.0,162,28.62,77.09
MD9EMHDL24A217262,83.14,24.06,1.23,100.0,185,28.73,77.23
MD9EMHDL24A217264,81.7,24.0,10.41,100.0,171,28.55,77.44
MD9EMHDL24A217268,57.74,27.26,4.68,100.0,129,28.64,77.1
MD9EMHDL24A217270,83.04,16.95,42.72,100.0,139,28.53,77.28
MD9EMHDL24A217271,87.11,20.17,14.15,100.0,186,28.74,77.18
MD9EMHDL24A217274,88.23,18.53,21.37,100.0,163,28.59,77.1
MD9EMHDL24A217275,73.55,11.93,42.69,84.94,190,17.59,78.41
MD9EMHDL24A217277,82.61,20.76,8.86,100.0,156,28.51,77.32
MD9EMHDL24A217278,85.06,14.57,57.44,100.0,125,12.94,77.64
MD9EMHDL24A217281,76.74,25.55,4.74,100.0,164,28.64,77.38
MD9EMHDL24A217285,94.26,10.8,41.18,100.0,192,28.65,77.15
MD9EMHDL24A217288,75.93,23.7,26.98,100.0,142,28.67,77.09
MD9EMHDL24A217289,90.69,13.45,51.15,100.0,164,28.54,77.26
MD9EMHDL24A217291,82.77,0.0,82.77,82.77,4,28.6,76.99
MD9EMHDL24A217297,81.97,21.29,34.13,100.0,134,28.65,77.2
